Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
9;92;welzijn en gezondheid;welzijn;Certificat donnant lieu au titre de personne de référence pour la démence
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Onderhandelen met overtuigingskracht 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Analyse vibratoire off-line
4;41;handel, administratie en recht;handel en administratie;Algemene vaardigheden en arbeidsattituden en werk, loon, sociale zekerheid
4;42;handel, administratie en recht;recht;Certificat interuniversitaire en mediation: formation specialisée et interdisciplinaire à la mediation civile et commercial et à la mediation sociale ( en abrégé et ci-après:MMCS)
4;41;handel, administratie en recht;handel en administratie;OPLEIDING INTERNE LOGISTIEK
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;mentoropleiding
10;104;diensten;transportdiensten;Werken met minigraafmachines
4;49;handel, administratie en recht;andere handel, administratie en recht;Coaching, supervisie et teambegeleiding
9;91;welzijn en gezondheid;gezondheid;Opleiding gespecialiseerd verpleegkundige respiratie en ventilatie
9;91;welzijn en gezondheid;gezondheid;Formation à l'accompagnement des étudiants en soins infirmiers et sages-femmes en stage : le tutorat - module 2
7;73;techniek, fabricage en constructie;architectuur en constructie;Aanleggen van verhardingen (tegeks, klinkers, kasseien en waterdoorlaatbare verhardingen) 3 volledige dagen
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleg en beheer van bloemweiden 1 volledige dag
4;41;handel, administratie en recht;handel en administratie;Start To Welcome in een WZC
2;23;kunst en menswetenschappen;talen;Taalkunde
9;90;welzijn en gezondheid;welzijn en gezondheid;Le bien-être dans son cadre de travail
9;91;welzijn en gezondheid;gezondheid;Postgraduaat diabeteseducator
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Vellen van bomen onder spanning
10;101;diensten;persoonlijke diensten;PICK EN GO KITSPICKERS
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Teeltmedewerker sierteelt (azalea, jongplantbedrijven, kamerplante, perkplanten, buitenteeten)1d
9;91;welzijn en gezondheid;gezondheid;Permanente vorming 'Nutritie'
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Verstekkapmachine instellen/bedienen
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Module 15 : Cisco CCNA (Version 5) Partie 4 : Seconde parti
9;91;welzijn en gezondheid;gezondheid;opleiding voor de regularisatie van apotheekassistent: pakket B
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding Maatschappelijk Werk 2016-2017
9;91;welzijn en gezondheid;gezondheid;Herbronningsreeks voor verzorgenden - Herbron VZ4 te Brussel
4;41;handel, administratie en recht;handel en administratie;Voortgezette Vorming 2017: Jobs, jobs, jobs: top of flop?
7;71;techniek, fabricage en constructie;techniek en technische beroepen;OPERATOR GIETERIJ - 120 u
10;104;diensten;transportdiensten;OPLEIDING EXPEDITIE
4;40;handel, administratie en recht;handel, administratie en recht;Openbare besturen
4;41;handel, administratie en recht;handel en administratie;LEADERSHIP COMPETENCE PROGRAM (LCP)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Les techniques d'alignement
10;104;diensten;transportdiensten;HEFTRUCK
4;41;handel, administratie en recht;handel en administratie;Competentiemanagement Management des compétences Structureren van evolutie- en evaluatiegesprekken
4;41;handel, administratie en recht;handel en administratie;Schakelprogramma: master communicatiewetenschappen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;MIG-MAG lassen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;NC boormachinebedienaar 
9;91;welzijn en gezondheid;gezondheid;Neuroverpleegkunde
10;101;diensten;persoonlijke diensten;Adapted Physical Activity (EM)
9;91;welzijn en gezondheid;gezondheid;Opleiding verpleegkunde + verpleegkunde werktraject - afstandsonderwijs
7;73;techniek, fabricage en constructie;architectuur en constructie;Toegepaste wetenschappen: architectuur
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Poetsen in een thuisomgeving
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CATIA/ENOVIA DMU
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Gids
9;92;welzijn en gezondheid;welzijn;Formation pour le secteur de l'accueil et de l'hébergement des personnes agées option :GESTION DE MAISONS DE REPOS MR-MRS
1;11;onderwijs;onderwijs;Devenir formateur
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Groenzorg
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkunde diabetologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Renault Partsline Service Desk
2;21;kunst en menswetenschappen;kunst;Animation artist
7;72;techniek, fabricage en constructie;fabricage en verwerking;Stoffeerder vervolmaking
7;72;techniek, fabricage en constructie;fabricage en verwerking;Subsector Subsectorielles FGBB VZW
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienen non-woven lijn achteraan/conduire la ligne de non-tissés (à l'arrière)
4;41;handel, administratie en recht;handel en administratie;Opleiding eerstelijnsverantwoordelijken
4;41;handel, administratie en recht;handel en administratie;Certificat interuniversitaire et hautes écoles en management innovant des organisation et réseaux de soins (MIORS)
10;104;diensten;transportdiensten;OTJ BASISOPLEIDING MEERIJDEN
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Bij - en nascholing Proefdierkunde
9;92;welzijn en gezondheid;welzijn;Tweejarige opleiding tot hulpverlener bij alcohol- en drugproblemen (2018-2019)
7;73;techniek, fabricage en constructie;architectuur en constructie;Omheinen van terreinen 1 volledige dag 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bio-ingenieurswetenschappen: landbouwkunde
7;73;techniek, fabricage en constructie;architectuur en constructie;Conservatie-restauratie
9;91;welzijn en gezondheid;gezondheid;Methodische behandelingsconcepten bij leer- en ontwikkelingsproblemen 
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Adviseur ergonomie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TIA PORTAL BASIS
4;41;handel, administratie en recht;handel en administratie;Formation d'initiation des citoyens acteurs dans leur milieu de vie et de travail
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Électricité base tension (BA4-BA5)
9;92;welzijn en gezondheid;welzijn;Kinderbetreuer
4;41;handel, administratie en recht;handel en administratie;Postgraduaat douane en accijnzen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation CNC Mitsubishi M700
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Conseiller en prevention niv 3
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TELECOM - Les ondes radio et le WI-FI
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Technologie des salles propres
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming Neonantologie
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Etische procesbegeleider in de gezondheidszorg
7;73;techniek, fabricage en constructie;architectuur en constructie;Rural Development (EM)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Opleidingen technieker procesautomatisatie - intern (Bart Van De Watering)
7;73;techniek, fabricage en constructie;architectuur en constructie;Toegepaste wetenschappen: bouwkunde
7;73;techniek, fabricage en constructie;architectuur en constructie;Buitenschrijnwerk plaatsen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Tournage CNC
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Kunstmatige inseminatie voor varkens 2 volledige dagen
10;104;diensten;transportdiensten;Vrachtwagenbestuurder
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;EHBO nijverheidshelper (met attest) 3d
2;23;kunst en menswetenschappen;talen;Turks richtgraad 2
9;91;welzijn en gezondheid;gezondheid;Permanente vorming referentiepersoon pijn 
4;41;handel, administratie en recht;handel en administratie;Financiële en fiscale aspecten van vastgoed
4;41;handel, administratie en recht;handel en administratie;People and Business Management Learning Programm (PBM3)
4;41;handel, administratie en recht;handel en administratie;Basisopleiding PIMS
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basiskennis Preventieadviseur
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Informatica Informatique Database
4;41;handel, administratie en recht;handel en administratie;Antwerpen Themamodule Communicatie met de achterban
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Creatieve therapie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Glutenvrij
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Analyse vibratoire on-line
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Pakwerker
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Controle pour magnétoscopie - niveau 1
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventieadviseur niveau 2 - 120
10;104;diensten;transportdiensten;Shunting Driver Theorie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;AUTOMOBIEL ASSEMBLAGE - 72 u
7;71;techniek, fabricage en constructie;techniek en technische beroepen;WPS Office
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Ontwikkelingstraject technisch productieoperator
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TOJ INSTALLATIES ROOSTERIJ
9;91;welzijn en gezondheid;gezondheid;Basisvorming voor verzorgenden en logistiek medewerkers, Malle
4;41;handel, administratie en recht;handel en administratie;Q RL : STOCKEREN R EN B
9;91;welzijn en gezondheid;gezondheid;Zusatzausbildung wundpflege, module 1 et module 2
10;104;diensten;transportdiensten;5 daagse heftruck opleiding
9;92;welzijn en gezondheid;welzijn;Bachelor in de pediatrische gezondheidszorg (banaba)
9;91;welzijn en gezondheid;gezondheid;Beroepsopleiding module tot zorgkundige 275 Wijgmaal
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electriciteit en verlichting op land- en tuinbouwmachines
9;92;welzijn en gezondheid;welzijn;Postgraduaat Equicoaching
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Logiciel ORCAD 
9;91;welzijn en gezondheid;gezondheid;Pflegehelfer - Zuzatsmodul
2;23;kunst en menswetenschappen;talen;Zweeds richtgraad 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;AUTOMOBIEL ASSEMBLAGE - 48 u
2;23;kunst en menswetenschappen;talen;Taaltraining Waystage A2 ERK Frans (Bedrijfsinterne opleiding van VASCO GROUP NV)
4;41;handel, administratie en recht;handel en administratie;1e lijns leidinggevende in de magazijnlogistiek
1;11;onderwijs;onderwijs;Train-de-trainer 2d
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Introduction au framework.NET partie 4 - ASP.Net + MVC
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);DesignCad
9;92;welzijn en gezondheid;welzijn;Opleiding kindertherapie
9;91;welzijn en gezondheid;gezondheid;Farmaceutisch technisch assistent
7;73;techniek, fabricage en constructie;architectuur en constructie;Waterdichtingssystemen en Betonherstelling
7;72;techniek, fabricage en constructie;fabricage en verwerking;Presseur de balles
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HEIDENHAIN KOFFER
4;41;handel, administratie en recht;handel en administratie;SAP MODULE MM
9;91;welzijn en gezondheid;gezondheid;Certificat universitaire et ingéniérie pharmaceutique et technologie industrielle
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Certificat de spécialisation PIT
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CNC bediening en programmeren
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Postgraduaat de ergotherapeut komt thuis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Siemens S7: S7-200 formation système (F-S7200)
9;91;welzijn en gezondheid;gezondheid;Intitulé : Infirmier relais en soins de plaies
4;41;handel, administratie en recht;handel en administratie;Aankoopmakelaar
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Varia: Verpakking
9;91;welzijn en gezondheid;gezondheid;Hef- en tiltechnieken 1d
9;91;welzijn en gezondheid;gezondheid;Referentiepersoon pijn
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autocad 2D
8;80;land- en bosbouw, visserij en dierengeneeskunde;land- en bosbouw, visserij en dierengeneeskunde;Parcours vaste planten en heesters
4;41;handel, administratie en recht;handel en administratie;Informatiemanagement
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VOICE PICKING VOOR KITS PICKERS
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektriciteit en verlichting op land- en tuinbouwmachines
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kaasmeester
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Grondstoffen: Gevogelte
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basisopleiding ergonoom.
1;11;onderwijs;onderwijs;Formation continue pour travailleurs du secteur
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TECHNOLOGIES INDUSTRIELLES - Activité DRONE
9;91;welzijn en gezondheid;gezondheid;Formation en pédiatrie et néonatologie
7;73;techniek, fabricage en constructie;architectuur en constructie;Professioneel plaatsen van afsluitingen
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat psychotherapie jeugd en context - 4e cyclus - jaar 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Verspaningstechnologie CNC frezen, opspantechnieken, snijgereedsschappen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Soudage et Brasage
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Introductie omgangskunde poetspersoneel, Hasselt
4;41;handel, administratie en recht;handel en administratie;Communication et gestion d'equipe
7;71;techniek, fabricage en constructie;techniek en technische beroepen;IWE (International Welding Engineer) sur deux ans
4;41;handel, administratie en recht;handel en administratie;De politieke en vakbondshefbomen op Europees niveau begrijpen en de vakbondsstrategieën in afwachting van de verkiezingen van 2018 en 2019
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mecanique generale
9;91;welzijn en gezondheid;gezondheid;Permanente vorming: overgangsbepalingen inzake bijzondere beroepstitel in de pediatrie en neonatologie
10;101;diensten;persoonlijke diensten;Opleiding zaaltechnieken
4;42;handel, administratie en recht;recht;Bemiddelen in familiezaken - specialisatie
4;41;handel, administratie en recht;handel en administratie;Conditions de travail et bien-être - Revenus et fiscalité
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Traçabilité pour opérateur de conditionnement en industrie alimentaire: bases théoriques
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A Thinking (bedrijfsinterne opleiding bij KAUTEX TEXTRON BENELUX BVBA)
9;91;welzijn en gezondheid;gezondheid;Spécialisation en Soins intensifs et aide médicale urgente (SIAMU)
10;101;diensten;persoonlijke diensten;Permanente make-up specialist
5;50;natuurwetenschappen, wiskunde en statistiek;natuurwetenschappen, wiskunde en statistiek;Bachelor in biomedische laboratoriumtechnologie - werktraject
10;104;diensten;transportdiensten;Heftruckbestuurders gevorderden 2 volledige dagen
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;opleidingsplan ter erkenning van technieker en receptionisten
4;41;handel, administratie en recht;handel en administratie;TRAINING ON THE JOB NIEUWE MEDEWERKERS
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Operator ringspinmachine
9;91;welzijn en gezondheid;gezondheid;Evidence based nuse practice
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Jaaropleiding: de wolf en de zeven geitjes: systeemtherapeutisch werken met het hechtingsperspectief
4;41;handel, administratie en recht;handel en administratie;Management Elektronisch Bewonersdossier
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkundige ziekenhygiëne
7;72;techniek, fabricage en constructie;fabricage en verwerking;Restauratievakman Fineer
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Pelles hydrauliques
10;103;diensten;veiligheidsdiensten;Mobiele bewaking
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);BUREAUTIQUE - Google Docs
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniques du froid M1 : bases
9;91;welzijn en gezondheid;gezondheid;Permanente vorming ‘revalidatie multidisciplinair’ 
7;72;techniek, fabricage en constructie;fabricage en verwerking;OPLEIDING TEXFINITY
9;92;welzijn en gezondheid;welzijn;Bachelor in het Sociaal werk, aansluitingstraject (62SP)
9;90;welzijn en gezondheid;welzijn en gezondheid;Leefstijlcoach
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electrotechnicien qualifié en technique automobile (EFK)
7;73;techniek, fabricage en constructie;architectuur en constructie;Klinken
10;104;diensten;transportdiensten;Vrachtwagenchauffeur
2;21;kunst en menswetenschappen;kunst;Postgraduaat creatives moves
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Multidisciplinaire Basisvorming Preventieadviseur niveau 2
7;72;techniek, fabricage en constructie;fabricage en verwerking;Beroepsopleiding Stikwerk
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Kunstmatige insematie voor varkens
4;41;handel, administratie en recht;handel en administratie;Comptes annuels et entreprise - Expression et communication - Revenus et fiscalité
1;11;onderwijs;onderwijs;Beter en efficiënt opleidinden
9;91;welzijn en gezondheid;gezondheid;HBO5-verpleegkunde (traject werkende student: modulaire beroepsbepaling verpleegkunde)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;BTV1
4;41;handel, administratie en recht;handel en administratie;1718 Efi voor beginners
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienaar droogfrekwent lijmpers
4;41;handel, administratie en recht;handel en administratie;PBM2-02-SW
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;PCP
2;23;kunst en menswetenschappen;talen;Talen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Metteurs au point banc d'essai
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Inventor - basis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Basistechnieken lassen 4 voll dagen
2;21;kunst en menswetenschappen;kunst;Horlogemaker-hersteller
9;91;welzijn en gezondheid;gezondheid;Posthogeschool Neonatologie
10;103;diensten;veiligheidsdiensten;Erfgoedbewaker - bekwaamheidsattest bewakingsagent
4;41;handel, administratie en recht;handel en administratie;Uitoefening van een mandaat in een overlegorgaan: de syndicale delegatie (1ste jaar)
7;73;techniek, fabricage en constructie;architectuur en constructie;Plan lezen en uitzetten van plangegevens 2d
9;92;welzijn en gezondheid;welzijn;Bijzondere beroepsbekwaamheid geriatrische verpleegkunde 12-13
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TIG-lassen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Subsector Subsectorielles Naredi
9;91;welzijn en gezondheid;gezondheid;Permanente vorming verpleegkundig pijnconsulent 1ste jaar
4;41;handel, administratie en recht;handel en administratie;Commerciële en financiële vaardigheden Aptitudes commerciales et financières Commercieel
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lasser Monteerder TIG
9;91;welzijn en gezondheid;gezondheid;Postgraudaat vroegdetectie en vroegbegeleiding 
10;100;diensten;diensten;M01 - sergeant - bevelvoering en brandbestrijding
5;50;natuurwetenschappen, wiskunde en statistiek;natuurwetenschappen, wiskunde en statistiek;Wetenschappen
2;23;kunst en menswetenschappen;talen;Taallessen Duits Van Hool nv
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation CNC - Siemens S7 - Sys 1
9;91;welzijn en gezondheid;gezondheid;Referte palliatieve zorg
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Cours de Base: section Chimie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Medewerker technische dienst
9;91;welzijn en gezondheid;gezondheid;Jaaropleiding : De Bremer Stadsmuzikanten. Samen werken en leiding geven in de hulpverleningssector
4;41;handel, administratie en recht;handel en administratie;"Session de clôture ""management opérationnel d'une carrosserie"""
9;91;welzijn en gezondheid;gezondheid;Permanente vorming klinische psychodiagnostiek voor kinderen
9;91;welzijn en gezondheid;gezondheid;Führungskraft in der Pflege
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Hydraulica op land- en tuinbouwmachines 3 volledige dagen
4;41;handel, administratie en recht;handel en administratie;Training, motivatie en sensibilisering
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Informatica Informatique Integrated software
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Lien entre référentiels (HACCP, ISO 9001, BRC, IFS, ISO 22000)
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Kunstmatige inseminatie voor rundvee 4 volledige dagen
9;91;welzijn en gezondheid;gezondheid;Soleclare - Renforcer notre qualité de présence dans nos prises en soin auprès du patient en psychiatrie
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Certificat en training autogene et gestion du stress
9;91;welzijn en gezondheid;gezondheid;Therapiedier
7;73;techniek, fabricage en constructie;architectuur en constructie;Herstellen van beton
7;72;techniek, fabricage en constructie;fabricage en verwerking;Basisiopleiding voedingsnijverheid
9;91;welzijn en gezondheid;gezondheid;4 jarige opleiding Relatie- en Gezinstherapie
9;91;welzijn en gezondheid;gezondheid;Orthopedie
2;23;kunst en menswetenschappen;talen;Formation Anglais intitulés
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Geestelijke Gezondheidszorg en psychiatrie module 3 : samen veerkrachtig in zorg
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Introduction au framework.NET partie 1 - C#
4;41;handel, administratie en recht;handel en administratie;BATCH VOICE DIRECTED PICKING AND PACKING
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Algemene onderhoudstechnieken
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);VPS softskills (40 u)
2;21;kunst en menswetenschappen;kunst;Musicologie
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Toegepaste economische wetenschappen: handelsingenieur in de beleidsinformatica
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;permanente vorming Psychoanalytische Therapie met kinderen en jongeren vanuit Freudiaans perspectief
7;72;techniek, fabricage en constructie;fabricage en verwerking;Production de yaourt
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Conversion des installations frigorifiques (Drop-in ou Retr
9;92;welzijn en gezondheid;welzijn;Observatie, registratie en communicatie in een WZC
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Operatoren / Moteurs
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Herkennen en bestrijden van bacterievuur 0,5d
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen van houten terrassen
7;73;techniek, fabricage en constructie;architectuur en constructie;Aannemer binnenschrijnwerk
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen van vijvers basis 2d
7;73;techniek, fabricage en constructie;architectuur en constructie;Coffreur
4;41;handel, administratie en recht;handel en administratie;Professioneel verkopen-opleiding verkopers
9;91;welzijn en gezondheid;gezondheid;Deeltijdse polyvalente opleiding voor verzorgenden, Antwerpen
9;92;welzijn en gezondheid;welzijn;Voorbereidingsprogramma naar de master sociaal werk voor de academische bachelors sociale agogiek, orthopedagogiek, pedagogiek en onderwijskunde, politieke en sociale wetenschappen of psychologie
9;91;welzijn en gezondheid;gezondheid;N'Feraido: un ârt de naître, gestes obstéopathiques au services de la maternité, cycle 2: la mère et le nouveau-né
7;72;techniek, fabricage en constructie;fabricage en verwerking;MAGAZIJNIER
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Koelmonteur
7;73;techniek, fabricage en constructie;architectuur en constructie;Hoogtewerker 2 volledige dagen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Aluminium schrijnwerk
9;91;welzijn en gezondheid;gezondheid;Professionele bachelor in de verpleegkunde via route 33: opleidingsfase voorbereidende module
2;23;kunst en menswetenschappen;talen;Taal
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Postgraduaatsopleiding Internet of Things
4;41;handel, administratie en recht;handel en administratie;GESTION ET COMMUNICATION - Leadership
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SD-18149 vervolgtraining Crane Maintenance Elektrisch, Koneductor, KC coderingen, Storing zoeken en Siebel Remote
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ PUNCH ZACHTE LIJN (Z4792)
9;91;welzijn en gezondheid;gezondheid;Master in de verpleeglunde en de vroedkunde
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;EHBO-nijverheidshelper
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienaar meerspillige boormachine
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Postgraduaat Energiecoördinator
10;101;diensten;persoonlijke diensten;Host/hostess op een toeristische bestemming
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Lassen
9;91;welzijn en gezondheid;gezondheid;Mesures Transitoires en pédiatrie et néonatologie
10;104;diensten;transportdiensten;OPL. POOLMEDEWERKERS : STOCKEREN MET REACHTRUCK
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Sketchup - Initiation
9;91;welzijn en gezondheid;gezondheid;Schakelprogramma master in de verpleegkunde en vroedkune en master in de verpleegkunde en vroedkunde
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Culture sûreté nucléaire
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Principes de la lyophilisation
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CATIA V5
7;72;techniek, fabricage en constructie;fabricage en verwerking;Vleestechnologie
9;99;welzijn en gezondheid;andere welzijn en gezondheid;Bachelor in de voedings- en dieetkunde
7;71;techniek, fabricage en constructie;techniek en technische beroepen;PHOENIX PLC 40
7;73;techniek, fabricage en constructie;architectuur en constructie;SCHILDEREN - 264
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Gecertificeerd aspirant- installateur van hernieuwbare energie - thermische zonne-energiesystemen - sanitair warm water
9;91;welzijn en gezondheid;gezondheid;Kinaesthetics - Aufbaukurs
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industriële elektriciteit
9;91;welzijn en gezondheid;gezondheid;Basiscursus palliatieve zorg 1/2013
9;92;welzijn en gezondheid;welzijn;Bachelor in de sociale gezondheidszorg (banaba)
4;41;handel, administratie en recht;handel en administratie;OTJ NIEUWE MEDEWERKER (KWALITEITSINSPECTOR)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Restaurator van handgemaakte tapijten
4;41;handel, administratie en recht;handel en administratie;BEDRIJFSOPLEIDINGSPLAN 2017
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lasserkwalificaties
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming  referentievroedvrouw diabetes
7;73;techniek, fabricage en constructie;architectuur en constructie;Dekvloerlegger
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);HR SOFTWARE EN RAPPORTERING - STERN
9;91;welzijn en gezondheid;gezondheid;Acupuntuur
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;NYRSTAR Belgium Catalyst Workshop - breder leiderschap
9;91;welzijn en gezondheid;gezondheid;Formation à la thérapie brève orientée solutions - niveau 2
2;23;kunst en menswetenschappen;talen;Chinees richtgraad 2
10;101;diensten;persoonlijke diensten;Maatwerk gemengd
